episode,reward,length,success
1,-63.1115,500,0
2,-77.8743,394,0
3,-81.9084,500,0
4,-7.6219,500,0
5,-26.8980,500,0
6,-39.7170,500,0
7,-107.4863,222,0
8,-67.1368,500,0
9,-87.6591,75,0
10,-44.8892,500,0
11,-90.3726,49,0
12,-83.6693,161,0
13,2.7941,500,0
14,-98.7861,9,0
15,-11.4738,500,0
16,-36.7528,500,0
17,-47.7698,500,0
18,-37.3589,500,0
19,-40.5972,500,0
20,-36.6154,500,0
21,-98.7238,17,0
22,-93.7288,117,0
23,4.5027,500,0
24,-41.9788,500,0
25,-46.3435,500,0
26,-88.9351,98,0
27,-9.1128,500,0
28,-38.6401,500,0
29,-97.6368,29,0
30,-42.7760,500,0
31,-49.1600,500,0
32,-20.2922,500,0
33,-18.3969,500,0
34,-11.8166,500,0
35,-12.5575,500,0
36,-81.7675,126,0
37,-13.3073,500,0
38,-88.2705,82,0
39,-97.1070,41,0
40,-88.6175,97,0
41,11.9768,500,0
42,-95.7181,121,0
43,-0.8192,500,0
44,-24.9717,500,0
45,2.4393,500,0
46,-10.0370,500,0
47,-22.8367,500,0
48,2.7418,500,0
49,8.4563,500,0
50,-32.3339,500,0
51,-9.4868,500,0
52,-11.0222,500,0
53,-99.3295,29,0
54,-93.5637,28,0
55,-16.8586,500,0
56,-14.0855,500,0
57,-10.9325,500,0
58,-88.8274,74,0
59,-33.0107,500,0
60,-29.2153,500,0
61,-101.8426,78,0
62,-7.0682,500,0
63,-23.2655,500,0
64,-91.9994,58,0
65,-97.9627,12,0
66,-28.9911,500,0
67,-20.1953,500,0
68,-27.6313,500,0
69,-14.1689,500,0
70,-27.7301,500,0
71,-12.8606,500,0
72,-97.9483,291,0
73,1.3738,500,0
74,-33.8036,500,0
75,8.3789,500,0
76,-100.9230,66,0
77,-98.4450,69,0
78,-22.5827,500,0
79,-103.2685,136,0
80,-96.8628,107,0
81,-3.1720,500,0
82,-31.5006,500,0
83,-92.1697,80,0
84,-24.7353,500,0
85,-12.0057,500,0
86,-3.2003,500,0
87,-24.4862,500,0
88,-10.0347,500,0
89,-12.0965,500,0
90,-19.1002,500,0
91,-89.4423,134,0
92,-3.4604,500,0
93,1.6942,500,0
94,-30.2975,500,0
95,-34.6657,500,0
96,-95.8359,80,0
97,0.9557,500,0
98,-89.9700,146,0
99,-90.7696,137,0
100,0.1651,500,0
101,8.8351,500,0
102,-28.7297,500,0
103,-2.5190,500,0
104,-12.5461,500,0
105,-87.3378,67,0
106,-27.5117,500,0
107,-100.2838,9,0
108,1.1447,500,0
109,-11.9874,500,0
110,-99.5269,9,0
111,-14.4725,500,0
112,-27.9711,500,0
113,-102.6727,85,0
114,-1.6942,500,0
115,-98.6388,8,0
116,4.8506,500,0
117,-11.4504,500,0
118,-4.0900,500,0
119,3.0875,500,0
120,-4.5425,500,0
121,-16.8396,500,0
122,-2.5974,500,0
123,-5.3490,500,0
124,3.0220,500,0
125,-20.9679,500,0
126,-26.1274,500,0
127,-3.5863,500,0
128,7.3875,500,0
129,0.2637,500,0
130,16.5889,500,0
131,-1.7367,500,0
132,-19.8473,500,0
133,12.9206,500,0
134,-8.7968,500,0
135,2.1854,500,0
136,-2.1396,500,0
137,13.6419,500,0
138,-5.5960,500,0
139,-14.4487,500,0
140,-11.0678,500,0
141,-21.8293,500,0
142,21.5356,500,0
143,-13.1774,500,0
144,12.6576,500,0
145,20.7017,500,0
146,-4.8158,500,0
147,-16.5830,500,0
148,-0.2512,500,0
149,-10.3483,500,0
150,-21.6748,500,0
151,-1.5718,500,0
152,-6.4984,500,0
153,-13.5982,500,0
154,28.8711,500,0
155,102.1054,466,1
156,-2.3913,500,0
157,14.9689,500,0
158,8.5925,500,0
159,14.6101,500,0
160,6.3510,500,0
161,19.0166,500,0
162,27.9710,500,0
163,27.4673,500,0
164,1.8104,500,0
165,-106.4067,121,0
166,13.8565,500,0
167,-1.3529,500,0
168,115.0409,489,1
169,-13.8859,500,0
170,11.4073,500,0
171,5.1093,500,0
172,6.4777,500,0
173,-11.6074,500,0
174,44.6349,500,0
175,103.9555,482,1
176,46.6442,500,0
177,-3.7225,500,0
178,29.3379,500,0
179,-1.3011,500,0
180,22.2937,500,0
181,126.3101,364,1
182,27.1595,500,0
183,29.1587,500,0
184,-4.4623,500,0
185,-8.3035,500,0
186,-22.2495,500,0
187,17.0769,500,0
188,134.0163,320,1
189,-23.2308,500,0
190,120.7981,252,1
191,-7.8806,500,0
192,31.0844,500,0
193,41.6510,500,0
194,15.7764,500,0
195,41.6518,500,0
196,19.3714,500,0
197,-96.8208,366,0
198,4.5314,500,0
199,-73.8898,320,0
200,-8.7081,500,0
201,-84.8646,77,0
202,-106.1939,67,0
203,-66.4558,143,0
204,-92.6524,40,0
205,24.6127,500,0
206,-101.5164,200,0
207,12.8649,500,0
208,15.2139,500,0
209,38.0490,500,0
210,6.5898,500,0
211,36.3672,500,0
212,127.4581,304,1
213,100.9541,415,1
214,-11.3368,500,0
215,31.9227,500,0
216,48.3352,500,0
217,123.3807,357,1
218,120.7886,409,1
219,-65.6510,259,0
220,16.7612,500,0
221,143.2959,362,1
222,121.1935,303,1
223,-99.6268,8,0
224,115.6212,399,1
225,22.2194,500,0
226,36.0934,500,0
227,3.8889,500,0
228,111.7344,418,1
229,15.5162,500,0
230,31.4206,500,0
231,55.5164,500,0
232,25.0025,500,0
233,30.2768,500,0
234,123.5684,369,1
235,146.4506,393,1
236,134.6684,418,1
237,107.9362,452,1
238,138.8485,316,1
239,42.0789,500,0
240,-99.1929,20,0
241,16.2476,500,0
242,54.2798,500,0
243,-70.8885,245,0
244,36.6772,500,0
245,-85.7725,412,0
246,-95.8226,21,0
247,24.3622,500,0
248,123.0758,329,1
249,152.3013,251,1
250,-15.2254,500,0
251,46.6514,500,0
252,53.3521,500,0
253,10.8558,500,0
254,-63.9347,233,0
255,-13.6648,500,0
256,14.2809,500,0
257,25.5615,500,0
258,133.6451,336,1
259,131.1733,196,1
260,140.4617,286,1
261,18.0630,500,0
262,123.1341,230,1
263,118.7538,243,1
264,117.9614,417,1
265,0.0678,500,0
266,140.6403,299,1
267,-9.4651,500,0
268,160.2006,358,1
269,-102.3419,44,0
270,-26.6870,500,0
271,9.4955,500,0
272,139.3448,305,1
273,25.8227,500,0
274,26.0312,500,0
275,26.0252,500,0
276,34.6158,500,0
277,137.3312,260,1
278,140.3600,221,1
279,34.2243,500,0
280,36.9096,500,0
281,148.9509,452,1
282,17.4853,500,0
283,124.9938,228,1
284,119.5478,269,1
285,153.6864,424,1
286,41.4357,500,0
287,150.3351,311,1
288,39.0918,500,0
289,157.8030,327,1
290,41.3223,500,0
291,117.7078,171,1
292,154.0418,210,1
293,-98.4457,12,0
294,141.9341,494,1
295,44.9321,500,0
296,29.0717,500,0
297,151.3898,200,1
298,150.2785,223,1
299,1.8014,500,0
300,166.0984,381,1
301,-17.0086,500,0
302,-4.6829,500,0
303,144.6652,231,1
304,30.5544,500,0
305,-83.9223,321,0
306,128.0950,221,1
307,130.2227,151,1
308,130.2596,163,1
309,157.8553,219,1
310,7.2780,500,0
311,139.0930,221,1
312,132.8281,314,1
313,152.7469,233,1
314,159.3433,257,1
315,141.1319,144,1
316,133.7476,169,1
317,-11.6003,500,0
318,40.2297,500,0
319,165.7578,465,1
