episode,reward,length,success
1,-35.5777,500,0
2,-34.2353,500,0
3,-13.8253,500,0
4,2.2184,500,0
5,-50.0942,500,0
6,-54.5185,500,0
7,-101.1871,27,0
8,-32.0967,500,0
9,-56.3529,500,0
10,-21.6867,500,0
11,-29.7600,500,0
12,-89.5899,500,0
13,-17.3579,500,0
14,-102.7614,115,0
15,-26.9133,500,0
16,-87.0751,66,0
17,-50.0754,500,0
18,-52.7112,500,0
19,-78.1237,500,0
20,-49.2189,500,0
21,-43.0860,500,0
22,-83.3502,80,0
23,-21.5718,500,0
24,-61.8232,500,0
25,-98.8905,13,0
26,-40.2404,500,0
27,-11.0497,500,0
28,-33.2670,500,0
29,-114.6942,347,0
30,-82.8913,478,0
31,-102.7725,490,0
32,-87.3541,480,0
33,-87.4261,47,0
34,-20.5107,500,0
35,-9.0192,500,0
36,0.0922,500,0
37,-5.7427,500,0
38,-93.7425,179,0
39,-104.6107,292,0
40,-19.8026,500,0
41,-25.0739,500,0
42,-84.5516,138,0
43,39.0629,500,0
44,-4.2340,500,0
45,-13.0213,500,0
46,-89.4343,385,0
47,-29.1379,500,0
48,-6.2568,500,0
49,-10.9525,500,0
50,-27.4769,500,0
51,7.3018,500,0
52,-1.6426,500,0
53,-100.3844,57,0
54,-60.3662,500,0
55,-33.7268,500,0
56,-12.0026,500,0
57,-55.5920,500,0
58,-60.3944,500,0
59,-21.5558,500,0
60,-91.1417,50,0
61,-112.3926,342,0
62,-27.0892,500,0
63,-34.5326,500,0
64,-30.9800,500,0
65,-97.1909,29,0
66,15.4613,500,0
67,2.0513,500,0
68,-32.6922,500,0
69,36.1866,500,0
70,-13.3218,500,0
71,10.0693,500,0
72,-99.5042,5,0
73,-34.2841,500,0
74,-104.7226,143,0
75,36.6294,500,0
76,-99.7463,6,0
77,-24.1004,500,0
78,-12.5211,500,0
79,-3.3332,500,0
80,-102.2976,389,0
81,-21.6347,500,0
82,-114.0511,476,0
83,1.3593,500,0
84,-97.4021,236,0
85,-25.5621,500,0
86,-21.3572,500,0
87,3.3073,500,0
88,-23.9863,500,0
89,-28.4210,500,0
90,-30.9400,500,0
91,-90.5726,161,0
92,-33.4011,500,0
93,-31.2970,500,0
94,-5.3513,500,0
95,-99.0213,6,0
96,-93.0269,32,0
97,-21.1377,500,0
98,-26.1208,500,0
99,-87.7537,90,0
100,-16.8262,500,0
101,-23.0847,500,0
102,-23.8859,500,0
103,-91.7166,378,0
104,-20.1320,500,0
105,-17.5025,500,0
106,-96.9193,118,0
107,-14.6403,500,0
108,-94.9577,63,0
109,-97.1636,213,0
110,-98.0828,40,0
111,-98.9234,10,0
112,-94.9133,442,0
113,-98.5482,46,0
114,-22.3985,500,0
115,-29.4643,500,0
116,-95.9312,424,0
117,-3.8525,500,0
118,-84.7088,123,0
119,-114.0281,414,0
120,-86.9732,170,0
121,-90.5450,461,0
122,-91.5300,340,0
123,-96.9635,148,0
124,-99.4075,10,0
125,-102.0651,330,0
126,-24.9485,500,0
127,-95.9615,182,0
128,-29.5453,500,0
129,-14.3633,500,0
130,-27.3794,500,0
131,-21.4999,500,0
132,-31.4116,500,0
133,-25.8608,500,0
134,13.1361,500,0
135,-15.0503,500,0
136,-94.4592,148,0
137,10.1637,500,0
138,7.1476,500,0
139,-100.3941,31,0
140,0.9820,500,0
141,-97.6575,33,0
142,-9.5223,500,0
143,-6.6247,500,0
144,-102.4692,244,0
145,-100.5355,209,0
146,-91.6972,180,0
147,-4.7537,500,0
148,-100.4286,79,0
149,9.2750,500,0
150,-15.7078,500,0
151,-98.4179,52,0
152,27.4686,500,0
153,-95.7092,25,0
154,19.9379,500,0
155,12.9173,500,0
156,-18.8221,500,0
157,-21.8927,500,0
158,-92.3925,179,0
159,22.1944,500,0
160,-92.6389,489,0
161,2.7586,500,0
162,-97.4928,67,0
163,6.2665,500,0
164,-88.9683,184,0
165,-0.5281,500,0
166,-108.2549,484,0
167,-94.5532,446,0
168,-14.9484,500,0
169,5.9330,500,0
170,17.3546,500,0
171,-97.4418,18,0
172,-90.1729,455,0
173,-99.4972,2,0
174,-3.4449,500,0
175,-97.3383,52,0
176,1.3007,500,0
177,-97.2580,81,0
178,-88.1778,358,0
179,-93.8691,216,0
180,-77.7874,224,0
181,-81.9969,379,0
182,-90.7835,301,0
183,-11.8446,500,0
184,-96.7759,45,0
185,-82.0633,187,0
186,-4.9299,500,0
187,-110.6715,430,0
188,-97.6457,28,0
189,-20.2851,500,0
190,-85.4660,109,0
191,1.7131,500,0
192,-89.6979,201,0
193,29.3948,500,0
194,-12.4424,500,0
195,-99.8779,95,0
196,-91.7877,82,0
197,-2.8848,500,0
198,3.5657,500,0
199,-98.1338,366,0
200,-99.4301,2,0
201,-73.9054,214,0
202,-3.8322,500,0
203,-84.1279,109,0
204,-100.7660,74,0
205,5.7829,500,0
206,-90.5467,141,0
207,28.1187,500,0
208,-3.0581,500,0
209,41.3326,500,0
210,-86.0278,117,0
211,-88.4246,183,0
212,-92.7990,152,0
213,-88.9256,353,0
214,19.2223,500,0
215,36.2837,500,0
216,-4.2419,500,0
217,9.8226,500,0
218,-99.2948,3,0
219,-85.8207,114,0
220,-73.9057,454,0
221,17.3573,500,0
222,-84.2345,187,0
223,-80.0704,147,0
224,24.7205,500,0
225,-13.8681,500,0
226,35.1754,500,0
227,-102.5876,331,0
228,-94.1724,30,0
229,-76.0228,54,0
230,-81.0324,88,0
231,-16.9975,500,0
232,13.6787,500,0
233,-93.5949,16,0
234,-3.4950,500,0
235,-8.3754,500,0
236,-20.7991,500,0
237,-92.5090,16,0
238,6.8605,500,0
239,167.4632,350,1
240,28.1540,500,0
241,-73.4501,150,0
242,-19.0230,500,0
243,-94.0997,19,0
244,-18.7673,500,0
245,6.3946,500,0
246,-18.2224,500,0
247,-6.5580,500,0
248,10.2412,500,0
249,-68.9687,500,0
250,-25.1732,500,0
251,-84.7945,26,0
252,128.1318,329,1
253,-33.5111,500,0
254,-83.8446,500,0
255,4.9916,500,0
256,-38.0401,500,0
257,-5.8652,500,0
258,-39.8025,500,0
259,-0.6922,500,0
260,-78.4401,93,0
261,19.4719,500,0
262,-4.9444,500,0
263,-91.0169,83,0
264,-113.5383,413,0
265,-78.0759,29,0
266,-85.6763,38,0
267,-66.9032,83,0
268,-0.6645,500,0
269,19.2446,500,0
270,5.6419,500,0
271,26.5630,500,0
272,-1.1434,500,0
273,130.5791,384,1
274,-80.0582,246,0
275,18.5237,500,0
276,41.7231,500,0
277,-14.4543,500,0
278,153.7349,163,1
279,130.6356,127,1
280,-12.0665,500,0
281,13.5673,500,0
282,-10.0046,500,0
283,-16.2262,500,0
284,40.0379,500,0
285,-4.5907,500,0
286,16.8252,500,0
287,-28.5524,500,0
288,8.6632,500,0
289,-8.9233,500,0
290,3.2289,500,0
291,9.5962,500,0
292,16.4068,500,0
293,-74.8805,141,0
294,153.5884,180,1
295,-64.1926,114,0
296,30.4460,500,0
297,-40.4645,500,0
298,-18.8119,500,0
299,-91.6474,276,0
300,151.0558,262,1
301,163.8063,153,1
302,7.5110,500,0
303,-87.2660,47,0
304,-94.1420,13,0
305,-88.7903,218,0
306,-81.6896,92,0
307,-79.2667,190,0
308,-97.1042,93,0
309,-16.5813,500,0
310,-94.0656,138,0
311,-90.3846,89,0
312,-89.1960,115,0
313,1.8639,500,0
314,-96.4240,7,0
315,-84.3815,249,0
316,-96.4844,12,0
317,1.5689,500,0
318,-98.3440,202,0
319,-17.9249,500,0
320,-84.8147,204,0
321,-9.9713,500,0
322,-8.9373,500,0
323,-93.7067,110,0
324,-3.9148,500,0
325,6.3536,500,0
326,-88.7376,365,0
327,-92.7030,64,0
328,-4.2645,500,0
329,8.3187,500,0
330,-1.9828,500,0
331,-7.1008,500,0
332,-100.0673,2,0
333,-96.2773,146,0
334,-99.9556,339,0
335,-96.3477,38,0
336,1.2735,500,0
337,-98.1230,23,0
338,-93.1874,315,0
339,-2.5434,500,0
340,6.0115,500,0
341,-87.2219,366,0
342,-87.0847,258,0
343,-80.7117,126,0
344,-85.0194,327,0
345,-99.8919,28,0
346,-93.3562,158,0
347,-92.2799,60,0
348,16.8151,500,0
349,-8.3917,500,0
350,-92.0704,142,0
351,8.9543,500,0
352,-91.2343,121,0
353,-20.2762,500,0
354,-8.0352,500,0
355,-95.1174,67,0
356,-1.8451,500,0
357,-20.5065,500,0
358,-88.2348,349,0
359,-95.8632,11,0
360,-100.4729,179,0
361,-11.8230,500,0
362,-0.9775,500,0
363,-98.4716,202,0
364,-101.5443,293,0
365,-96.4926,482,0
366,-97.2493,377,0
367,-104.0761,409,0
368,-100.9079,299,0
369,-12.3246,500,0
370,-100.3197,16,0
371,-4.2366,500,0
372,-14.8464,500,0
373,-11.3521,500,0
374,-14.7103,500,0
375,-26.3065,500,0
376,-109.5456,380,0
377,-107.3566,458,0
378,-7.8660,500,0
379,-21.3451,500,0
380,-101.2745,392,0
381,-7.3770,500,0
382,-101.9695,365,0
383,-12.9288,500,0
384,-3.6629,500,0
385,-99.1131,54,0
386,-3.6608,500,0
387,-98.4959,260,0
388,-7.5275,500,0
389,-5.8364,500,0
390,-102.4212,67,0
391,-2.1292,500,0
392,-0.2483,500,0
393,-7.2557,500,0
394,-87.3195,418,0
395,-4.6754,500,0
396,-95.1633,252,0
397,-92.8803,79,0
398,-89.3232,381,0
399,-89.2978,156,0
400,-1.0054,500,0
401,-97.3481,71,0
402,-92.9422,138,0
403,-97.3730,315,0
404,-7.5787,500,0
405,-99.3542,75,0
406,-92.6038,472,0
407,-3.2482,500,0
408,-91.5027,293,0
409,-97.1529,60,0
410,1.0319,500,0
411,-100.8288,5,0
412,-98.8865,27,0
413,-95.7615,40,0
414,-99.2507,40,0
415,11.0465,500,0
416,-100.5220,83,0
417,-97.2694,113,0
418,-96.0598,40,0
419,-100.8740,182,0
420,-94.4557,213,0
421,-95.7805,162,0
422,-97.5720,266,0
423,-92.8286,478,0
424,-95.9579,376,0
425,-3.1083,500,0
426,-100.2603,128,0
427,-87.7384,312,0
428,-9.6180,500,0
429,-102.8089,198,0
430,-94.1750,223,0
431,-95.5867,326,0
432,-90.4363,321,0
433,-95.0773,54,0
434,-97.0925,365,0
435,-97.8046,16,0
436,-96.2312,475,0
437,-103.5529,230,0
438,-98.4876,30,0
439,-104.0756,333,0
440,-9.3899,500,0
441,-100.6882,282,0
442,-95.9591,436,0
443,-96.5552,167,0
444,-100.2405,6,0
445,-95.8584,352,0
446,-108.4570,461,0
447,-101.9381,223,0
448,-99.1917,25,0
449,-100.9806,68,0
450,-94.5867,189,0
451,-101.3785,307,0
452,-4.9067,500,0
453,-93.1383,147,0
454,-95.6842,185,0
455,-102.0902,72,0
456,-102.4746,236,0
457,-99.8667,381,0
458,-98.9155,442,0
459,-103.3214,129,0
460,-113.8469,432,0
461,-96.8795,376,0
462,-13.0587,500,0
463,-5.1955,500,0
464,-8.3688,500,0
465,-2.7221,500,0
466,-99.7094,50,0
467,-2.5862,500,0
