episode,reward,length,success
1,-22.2126,500,0
2,-16.3276,500,0
3,-120.1018,403,0
4,-15.5723,500,0
5,-15.1918,500,0
6,-27.1732,500,0
7,-101.5811,47,0
8,-42.4556,500,0
9,-99.9764,93,0
10,-2.7508,500,0
11,-59.4818,500,0
12,-42.6949,500,0
13,-23.0615,500,0
14,-35.3639,500,0
15,-12.0805,500,0
16,-28.6993,500,0
17,-23.7280,500,0
18,-43.4879,500,0
19,-25.6221,500,0
20,-10.8454,500,0
21,-32.9408,500,0
22,-18.1122,500,0
23,-8.7375,500,0
24,-29.5947,500,0
25,-29.5301,500,0
26,-102.3140,260,0
27,-25.7184,500,0
28,-108.0852,391,0
29,-37.2153,500,0
30,-0.8751,500,0
31,-26.4070,500,0
32,-8.8584,500,0
33,-21.8234,500,0
34,-6.9631,500,0
35,-7.5587,500,0
36,-9.6756,500,0
37,-8.6469,500,0
38,-24.3648,500,0
39,-29.3419,500,0
40,-99.6051,292,0
41,8.0652,500,0
42,-24.1711,500,0
43,-8.8867,500,0
44,-20.1357,500,0
45,-38.1104,500,0
46,-12.4203,500,0
47,0.8667,500,0
48,3.3113,500,0
49,2.5986,500,0
50,-19.0091,500,0
51,4.3350,500,0
52,-12.8702,500,0
53,-98.6181,17,0
54,-21.3368,500,0
55,-8.7449,500,0
56,-7.2003,500,0
57,-8.4650,500,0
58,-21.5185,500,0
59,-22.9006,500,0
60,-25.4427,500,0
61,-30.0652,500,0
62,3.8251,500,0
63,-18.9625,500,0
64,-29.9875,500,0
65,-32.5405,500,0
66,-12.0204,500,0
67,-16.1544,500,0
68,-19.5575,500,0
69,1.1362,500,0
70,-11.9457,500,0
71,-12.8521,500,0
72,-99.0705,3,0
73,4.9760,500,0
74,-30.2819,500,0
75,5.1899,500,0
76,-35.0645,500,0
77,-24.0757,500,0
78,-24.2516,500,0
79,-5.7190,500,0
80,-24.0268,500,0
81,6.4923,500,0
82,-27.2822,500,0
83,-26.5639,500,0
84,-6.7323,500,0
85,-97.5794,316,0
86,0.2823,500,0
87,-17.8957,500,0
88,-6.9640,500,0
89,-14.5789,500,0
90,-90.8732,102,0
91,-10.4049,500,0
92,3.2609,500,0
93,-77.3359,286,0
94,-20.4241,500,0
95,-112.8425,256,0
96,-18.1785,500,0
97,-1.3013,500,0
98,-7.6906,500,0
99,-8.7627,500,0
100,-1.1398,500,0
101,4.3987,500,0
102,-99.7709,143,0
103,-7.3896,500,0
104,-21.4182,500,0
105,-15.7300,500,0
106,-27.9808,500,0
107,-5.2551,500,0
108,-23.7320,500,0
109,-26.3597,500,0
110,-31.1672,500,0
111,-30.3965,500,0
112,-8.4236,500,0
113,-31.6680,500,0
114,-5.4335,500,0
115,-10.2225,500,0
116,-9.3475,500,0
117,-6.0970,500,0
